year,odometer,condition,transmission,state,price
2007.0,167000.0,good,manual,ca,4500
2018.0,39082.0,good,other,ca,22990
2008.0,86956.0,excellent,automatic,ca,6999
2013.0,118313.0,good,automatic,ca,11788
2019.0,50253.0,good,automatic,ca,20878
2017.0,18000.0,like new,automatic,ca,19999
2017.0,45000.0,like new,automatic,ca,18999
2018.0,13000.0,like new,automatic,ca,21999
2018.0,34500.0,like new,automatic,ca,21999
2018.0,30215.0,,manual,ca,19999
2008.0,185781.0,,automatic,ca,7999
2004.0,90000.0,excellent,automatic,ca,6499
1999.0,100000.0,,automatic,ca,900
2019.0,20153.0,,automatic,ca,25991
2001.0,236454.0,fair,manual,ca,1500
2014.0,114148.0,excellent,automatic,ca,9288
2016.0,45185.0,excellent,automatic,ca,14588
2010.0,89900.0,good,automatic,ca,6800
2010.0,94030.0,,automatic,ca,0
2016.0,39800.0,excellent,automatic,ca,12900
1997.0,237000.0,,automatic,ca,3000
2001.0,143302.0,,automatic,ca,4495
2002.0,147005.0,,manual,ca,3995
2010.0,117000.0,excellent,automatic,ca,8500
2011.0,116000.0,excellent,automatic,ca,8995
2012.0,146148.0,,automatic,ca,8999
2015.0,107000.0,excellent,automatic,ca,13950
2007.0,120000.0,,manual,ca,9000
2014.0,94030.0,,automatic,ca,0
2006.0,87141.0,,automatic,ca,7499
2017.0,22756.0,excellent,automatic,ca,13985
2018.0,30215.0,,manual,ca,19999
1999.0,162000.0,good,automatic,ca,3200
2014.0,83965.0,,manual,ca,16999
2019.0,34800.0,like new,automatic,ca,26500
2018.0,75424.0,,automatic,ca,20956
2018.0,28123.0,,automatic,ca,19870
2013.0,94030.0,excellent,manual,ca,11999
2015.0,94030.0,,automatic,ca,0
2013.0,54419.0,good,other,ca,17990
2014.0,83965.0,,manual,ca,16999
2000.0,159077.0,,automatic,ca,4495
2014.0,138172.0,,automatic,ca,9899
2011.0,99391.0,good,automatic,ca,8999
2015.0,107000.0,excellent,automatic,ca,13950
2000.0,160000.0,,automatic,ca,2800
1989.0,230000.0,,manual,ca,3500
2014.0,83965.0,,manual,ca,16999
2019.0,45490.0,excellent,automatic,ca,16998
2012.0,146148.0,,automatic,ca,8999
2006.0,87141.0,,automatic,ca,7499
2010.0,94030.0,,automatic,ca,0
2014.0,138172.0,,automatic,ca,9899
2013.0,94030.0,,automatic,ca,0
2012.0,79145.0,good,automatic,ca,9500
1993.0,221000.0,good,automatic,ca,6000
2019.0,94030.0,,manual,ca,0
2012.0,146148.0,,automatic,ca,8999
2010.0,126739.0,excellent,automatic,ca,6999
2014.0,114148.0,excellent,automatic,ca,9288
2016.0,45185.0,excellent,automatic,ca,14288
2006.0,87141.0,,automatic,ca,7499
2018.0,94030.0,,automatic,ca,0
2018.0,16020.0,,automatic,ca,19600
2020.0,15357.0,,automatic,ca,23352
2005.0,135408.0,,automatic,ca,6986
2006.0,87141.0,,automatic,ca,6999
2007.0,157525.0,good,automatic,ca,6995
2010.0,153475.0,,automatic,ca,6995
2007.0,157525.0,good,automatic,ca,6995
2018.0,38000.0,like new,manual,ca,1
2008.0,187000.0,good,automatic,ca,4500
1999.0,196900.0,good,manual,ca,2500
2017.0,41179.0,good,other,ca,16995
2008.0,88450.0,excellent,automatic,ca,6795
1996.0,258000.0,good,automatic,ca,2000
2002.0,238000.0,excellent,manual,ca,4700
2014.0,138330.0,excellent,automatic,ca,12495
2017.0,41179.0,good,other,ca,16995
2014.0,25724.0,good,other,ca,21590
2016.0,70230.0,,automatic,ca,16981
2010.0,132137.0,excellent,automatic,ca,7777
2018.0,86561.0,like new,automatic,ca,0
2012.0,88171.0,good,manual,ca,0
2017.0,41179.0,good,other,ca,16995
2001.0,174541.0,good,automatic,ca,1600
2008.0,88450.0,excellent,automatic,ca,6795
2015.0,17649.0,good,other,ca,15990
2017.0,22235.0,good,other,ca,19590
2016.0,70230.0,,automatic,ca,16981
2017.0,41179.0,good,other,ca,16995
2001.0,6900.0,excellent,automatic,ca,5500
2003.0,185000.0,excellent,automatic,ca,2275
2020.0,4152.0,good,other,ca,24990
2017.0,41179.0,good,other,ca,16995
2008.0,180000.0,good,automatic,ca,5000
2010.0,132137.0,excellent,automatic,ca,7777
2003.0,217603.0,good,automatic,ca,1300
1988.0,22.0,,manual,ca,2000
2017.0,41179.0,good,other,ca,16995
2015.0,134655.0,excellent,automatic,ca,10995
2018.0,6583.0,good,other,ca,18990
2019.0,45490.0,excellent,automatic,ca,16998
2016.0,33685.0,,automatic,ca,16499
2017.0,58856.0,,automatic,ca,500
2004.0,150000.0,excellent,automatic,ca,3150
2006.0,114000.0,,manual,ca,7000
2010.0,89000.0,like new,automatic,ca,8850
2018.0,16141.0,,automatic,ca,20997
2020.0,10098.0,,automatic,ca,20997
2010.0,109000.0,,manual,ca,3900
2001.0,211926.0,fair,automatic,ca,2000
2001.0,99000.0,like new,automatic,ca,3500
2001.0,99000.0,like new,automatic,ca,3500
2015.0,57000.0,excellent,manual,ca,19997
2008.0,162000.0,good,automatic,ca,6500
2017.0,18971.0,excellent,automatic,ca,17988
2005.0,125000.0,,automatic,ca,1900
2017.0,45370.0,excellent,automatic,ca,15900
2014.0,63658.0,,manual,ca,219
2017.0,32199.0,,manual,ca,477
2013.0,94250.0,like new,automatic,ca,10995
2005.0,192000.0,good,automatic,ca,3100
2010.0,109000.0,,manual,ca,3900
1994.0,221000.0,,manual,ca,3200
2018.0,17745.0,good,other,ca,37590
2009.0,58000.0,like new,automatic,ca,6600
2020.0,3678.0,good,other,ca,25590
2019.0,18691.0,,automatic,ca,19777
2004.0,163000.0,excellent,automatic,ca,3500
2006.0,179000.0,,automatic,ca,4800
2015.0,80000.0,excellent,automatic,ca,11750
2017.0,58856.0,,automatic,ca,500
2010.0,121341.0,,automatic,ca,8755
